cam_id,ip,type,lat,long,status
ACCC8EF80728,10.55.11.11,oerview_cam,18.804305,98.955631,available
ACCC8EF80733,10.55.11.12,oerview_cam,18.804305,98.955631,available
ACCC8EF8076C,10.55.11.13,oerview_cam,18.804166,98.955791,available
ACCC8EF8077F,10.55.11.14,oerview_cam,18.804011,98.956284,available
ACCC8EF807E1,10.55.11.21,oerview_cam,18.805378,98.954597,available
ACCC8EF7F387,10.55.11.31,oerview_cam,18.806576,98.955651,available
ACCC8EF8075B,10.55.11.32,oerview_cam,18.806576,98.955651,available
ACCC8EF8079A,10.55.11.33,oerview_cam,18.806094,98.955586,available
ACCC8EF807F7,10.55.11.34,oerview_cam,18.806094,98.955586,available
ACCC8EF37E03,10.55.11.35,LPR_cam,18.805523,98.955584,available
ACCC8EF190EA,10.55.11.36,LPR_cam,18.805238,98.955593,available
ACCC8EF190EE,10.55.11.37,LPR_cam,18.805587,98.955318,available
ACCC8EF7F2C0,10.55.11.41,oerview_cam,18.807424,98.955363,available
ACCC8EF802BF,10.55.11.42,oerview_cam,18.807424,98.955363,available
ACCC8EF804D2,10.55.11.43,oerview_cam,18.807521,98.955731,available
ACCC8EF806DF,10.55.11.44,oerview_cam,18.807473,98.955698,available
ACCC8EF80738,10.55.11.45,oerview_cam,18.807337,98.955919,available
ACCC8EF80747,10.55.11.46,oerview_cam,18.807122,98.955733,available
ACCC8EF8076B,10.55.11.47,oerview_cam,18.807122,98.955733,available
044000075913010003,10.55.11.48,LPR_cam,18.807337,98.955919,available
ACCC8EF80732,10.55.11.51,oerview_cam,18.807924,98.955011,available
ACCC8EF8073A,10.55.11.52,oerview_cam,18.80816781642414,98.95489317749015,available
ACCC8EF80751,10.55.11.53,oerview_cam,18.807279649445036,98.95425670653623,available
B8A44F14D8FA,10.55.11.54,LPR_cam,18.807538,98.954947,available
ACCC8EF37EAA,10.55.11.55,LPR_cam,,,
B8A44F1951B3,10.55.11.56,oerview_cam,18.807427235374792,98.9551564701396,available
044515907510140002,10.55.11.123,PLA,18.807431167621242,98.95553614973068,available
044515907509140004,10.55.11.124,PLA,18.80753026025874,98.95543396025906,available
044515907510140087,10.55.11.125,PLA,18.80777956449763,98.95512822264685,available
044515907509140005,10.55.11.126,PLA,18.807409372085583,98.9555682439122,available
044515907511140013,10.55.11.127,PLA,18.8075335125999,98.95544032615203,available
044515907509140022,10.55.11.128,PLA,18.807603723178097,98.9553274575401,available
404542075621010065,10.55.11.61,oerview_cam,18.80834282752613,98.95456592394481,
404542075922010109,10.55.11.62,oerview_cam,18.807841745918797,98.95458417728055,
404542075922010141,10.55.11.63,oerview_cam,,,
404542075923010070,10.55.11.64,oerview_cam,,,
ACCC8EF37E96,10.55.11.67,LPR_cam,18.807831887492092,98.9545812002872,available
ACCC8EF37EA5,10.55.11.68,LPR_cam,18.807831887492092,98.9545812002872,available
ACCC8EF37EAA,10.55.11.65,LPR_cam,18.80708996597395,98.95383842834238,available
ACCC8EF37E84,10.55.11.66,LPR_cam,18.806994457365388,98.95388590855434,available
ACCC8EF80244,10.55.11.71,oerview_cam,18.805404,98.954817,available
ACCC8EF80764,10.55.11.81,oerview_cam,18.805873,98.952818,available
ACCC8EF80796,10.55.11.82,oerview_cam,18.805873,98.952818,available
ACCC8EF807DC,10.55.11.83,oerview_cam,18.806353,98.952606,available
ACCC8EF807E7,10.55.11.84,oerview_cam,18.806520,98.951944,available
ACCC8EF1D4DC,10.55.11.85,LPR_cam,18.806702,98.952050,available
ACCC8EF1D572,10.55.11.86,LPR_cam,18.806702,98.952050,available
044000075913010013,10.55.11.87,LPR_cam,18.806784,98.951880,available
ACCC8EAAE3C4,10.55.11.88,oerview_cam,18.806320277409814,98.95336956124919,available
ACCC8EF6ADCA,10.55.11.89,OMNI,18.805803404280987,98.95326866579877,available
ACCC8EF802CC,10.55.11.91,oerview_cam,18.806986,98.952866,available
ACCC8EF80746,10.55.11.92,oerview_cam,18.806854,98.952797,available
ACCC8EF80754,10.55.11.93,oerview_cam,18.806854,98.952797,available
ACCC8EAAE3C1,10.55.11.97,oerview_cam,18.80661804055664,98.95329240590475,
ACCC8EF6AB4D,10.55.11.98,OMNI,18.806769731013713,98.95300158960644,available
ACCC8EF80955,10.55.11.101,oerview_cam,18.807749,98.953166,available
ACCC8EF807EE,10.55.11.111,oerview_cam,18.808289,98.952432,available
ACCC8EF8028D,10.55.12.11,oerview_cam,18.804255,98.952407,available
ACCC8EF6AB51,10.55.12.12,OMNI,18.804534,98.951807,available
ACCC8EF6AEAE,10.55.12.13,OMNI,18.804776,98.951073,available
ACCC8EF802F5,10.55.12.21,oerview_cam,18.805212,98.953239,available
ACCC8EF8031A,10.55.12.22,oerview_cam,18.804993,98.952926,available
ACCC8EF803D9,10.55.12.23,oerview_cam,18.804993,98.952926,available
ACCC8EF806E4,10.55.12.24,oerview_cam,18.805084,98.952741,available
ACCC8EF80735,10.55.12.25,oerview_cam,18.805084,98.952741,available
ACCC8EF80919,10.55.12.26,oerview_cam,18.804948,98.952554,available
ACCC8EF8095A,10.55.12.27,oerview_cam,18.804761,98.952973,available
ACCC8EF7F364,10.55.12.31,oerview_cam,18.804364,98.954065,
ACCC8EF7F376,10.55.12.32,oerview_cam,18.803853,98.953999,available
ACCC8EF806F8,10.55.12.33,oerview_cam,18.803819,98.953798,available
ACCC8EF80736,10.55.12.34,oerview_cam,18.803819,98.953798,available
ACCC8EF80784,10.55.12.35,oerview_cam,18.803819,98.953798,available
ACCC8EF175F1,10.55.12.36,LPR_cam,18.803945,98.953842,available
ACCC8EF37D77,10.55.12.37,LPR_cam,18.803945,98.953842,available
ACCC8EF37DAD,10.55.12.38,LPR_cam,18.803945,98.953842,available
ACCC8EF80311,10.55.12.42,oerview_cam,18.805079,98.950673,available
ACCC8EF80446,10.55.12.43,oerview_cam,18.804976,98.950502,available
ACCC8EF807E3,10.55.12.44,oerview_cam,18.805347,98.950322,available
ACCC8EF6AE36,10.55.12.45,OMNI,18.805161,98.950326,available
ACCC8EF6A855,10.57.0.11,OMNI,18.806077,98.951346,available
ACCC8EF1D4E7,10.55.12.51,LPR_cam,18.803793,98.949084,available
ACCC8EF1D5B1,10.55.12.52,LPR_cam,18.803793,98.949084,available
ACCC8EF37E2E,10.55.12.53,LPR_cam,18.803793,98.949084,available
ACCC8EF37E5D,10.55.12.54,LPR_cam,18.803793,98.949084,available
ACCC8EF80245,10.55.12.61,oerview_cam,18.803144,98.950460,available
ACCC8EF1D50C,10.55.12.62,LPR_cam,18.802615,98.951487,available
ACCC8EF37BD9,10.55.12.63,LPR_cam,18.802615,98.951487,available
ACCC8EF37E40,10.55.12.64,LPR_cam,18.802615,98.951487,available
ACCC8EF37E47,10.55.12.65,LPR_cam,18.802615,98.951487,available
