node,swname,cam_id,cam_ip
NODE-FO-01,FO1.1-S1.1,ACCC8EF80733,10.55.11.12
NODE-FO-01,FO1.1-S1.1,ACCC8EF8076C,10.55.11.13
NODE-FO-01,FO1.1-S1.1,ACCC8EF8077F,10.55.11.14
NODE-FO-02,FO1.2-S1.1,,
NODE-FO-02,FO1.2-S1.1,ACCC8EF807E1,10.55.11.21
NODE-FO-02,FO1.2-S1.1,ACCC8EF7F37F,10.55.11.22
NODE-FO-02,FO1.2-S2.1,,
NODE-FO-02,FO1.2-S2.1,ACCC8EF7F387,10.55.11.31
NODE-FO-02,FO1.2-S2.1,ACCC8EF8075B,10.55.11.32
NODE-FO-02,FO1.2-S2.1,ACCC8EF8079A,10.55.11.33
NODE-FO-02,FO1.2-S2.1,ACCC8EF807F7,10.55.11.34
NODE-FO-02,FO1.2-S2.1,ACCC8EF37E03,10.55.11.35
NODE-FO-02,FO1.2-S2.1,ACCC8EF190EA,10.55.11.36
NODE-FO-02,FO1.2-S2.1,ACCC8EF190EE,10.55.11.37
NODE-FO-02,FO1.2-S3.1,,
NODE-FO-02,FO1.2-S3.1,ACCC8EF7F2C0,10.55.11.41
NODE-FO-02,FO1.2-S3.1,ACCC8EF802BF,10.55.11.42
NODE-FO-02,FO1.2-S3.1,ACCC8EF804D2,10.55.11.43
NODE-FO-02,FO1.2-S3.1,ACCC8EF806DF,10.55.11.44
NODE-FO-02,FO1.2-S3.1,,
NODE-FO-02,FO1.2-S3.1,ACCC8EF80738,10.55.11.45
NODE-FO-02,FO1.2-S3.1,ACCC8EF80747,10.55.11.46
NODE-FO-02,FO1.2-S3.1,ACCC8EF8076B,10.55.11.47
NODE-FO-02,FO1.2-S3.1,044000075913010003,10.55.11.48
NODE-FO-02,FO1.2-S4.1,,
NODE-FO-02,FO1.2-S4.1,ACCC8EF80732,10.55.11.51
NODE-FO-02,FO1.2-S4.1,ACCC8EF8073A,10.55.11.52
NODE-FO-02,FO1.2-S4.1,ACCC8EF80751,10.55.11.53
NODE-FO-02,FO1.2-S4.1,B8A44F14D8FA,10.55.11.54
NODE-FO-02,FO1.2-S4.1,ACCC8EF37EAA,10.55.11.55
NODE-FO-02,FO1.2-S4.1,B8A44F1951B3,10.55.11.56
NODE-FO-02,FO1.2-S4.1,B8A44F199CD1,10.55.11.57
NODE-FO-02,FO1.2-S4.2,,
NODE-FO-02,FO1.2-S4.2,044515907510140002,10.55.11.123
NODE-FO-02,FO1.2-S4.2,044515907509140004,10.55.11.124
NODE-FO-02,FO1.2-S4.2,044515907510140087,10.55.11.125
NODE-FO-02,FO1.2-S4.2,044515907509140005,10.55.11.126
NODE-FO-02,FO1.2-S4.2,044515907511140013,10.55.11.127
NODE-FO-02,FO1.2-S4.2,044515907509140022,10.55.11.128
NODE-FO-02,FO1.2-S5.1,,
NODE-FO-02,FO1.2-S5.1,404542075621010065,10.55.11.61
NODE-FO-02,FO1.2-S5.1,404542075922010109,10.55.11.62
NODE-FO-02,FO1.2-S5.1,404542075922010141,10.55.11.63
NODE-FO-02,FO1.2-S5.1,404542075923010070,10.55.11.64
NODE-FO-02,FO1.2-S5.1,ACCC8EF37EAA,10.55.11.65
NODE-FO-02,FO1.2-S5.1,ACCC8EF37E84,10.55.11.66
NODE-FO-02,FO1.2-S5.1,ACCC8EF37E96,10.55.11.67
NODE-FO-02,FO1.2-S5.1,ACCC8EF37EA5,10.55.11.68
NODE-FO-02,FO1.2-S5.2,,
NODE-FO-02,FO1.2-S5.2,ACCC8EF37EAA,10.55.11.65
NODE-FO-02,FO1.2-S5.2,ACCC8EF37E84,10.55.11.66
NODE-FO-02,FO1.2-S5.2,ACCC8EF80244,10.55.11.71
NODE-FO-03,FO1.3-S1.1,,
NODE-FO-03,FO1.3-S1.1,ACCC8EF80764,10.55.11.81
NODE-FO-03,FO1.3-S1.1,ACCC8EF80796,10.55.11.82
NODE-FO-03,FO1.3-S1.1,ACCC8EF807DC,10.55.11.83
NODE-FO-03,FO1.3-S1.1,ACCC8EF807E7,10.55.11.84
NODE-FO-03,FO1.3-S1.1,ACCC8EF1D4DC,10.55.11.85
NODE-FO-03,FO1.3-S1.1,ACCC8EF1D572,10.55.11.86
NODE-FO-03,FO1.3-S1.1,044000075913010013,10.55.11.87
NODE-FO-03,FO1.3-S1.1,ACCC8EAAE3C4,10.55.11.88
NODE-FO-03,FO1.3-S1.1,ACCC8EF6ADCA,10.55.11.89
NODE-FO-03,FO1.3-S2.1,,
NODE-FO-03,FO1.3-S2.1,ACCC8EAAE3C4,10.55.11.88
NODE-FO-03,FO1.3-S2.1,ACCC8EF802CC,10.55.11.91
