id,node,swname,swmac,swip,swlat,swlong,swcore,fron-node-patch
1,NODE-FO-07,FO3.1-S1.1,A10130R190400117 A,10.55.0.71,18.803099,98.957274,6,"01-02, 03-04, 05-06"
2,NODE-FO-07,FO3.1-S2.1,A10130R190400118 A,10.55.0.72,18.803239,98.956277,6,"07-08, 09-10, 11-12"
3,NODE-FO-09,FO3.3-S8.1,A10130R195000134 B,10.55.0.88,,,,
4,NODE-FO-07,FO3.1-S3.1,A10130R190400119 A,10.55.0.73,18.801202,98.956985,6,"13-14, 15-16, 17-18"
5,NODE-FO-07,FO3.1-S3.2,,10.55.0.86,18.801202,98.956985,,
6,NODE-FO-08,FO3.2-S1.1,A10130R190400DEH A,10.55.0.74,18.799070,98.957375,6,"19-20, 21-22, 23-24"
7,NODE-FO-08,FO3.2-S2.1,A10130R190400058 A,10.55.0.75,18.799629,98.955850,6,"01-02, 03-04, 05-06"
8,NODE-FO-08,FO3.2-S3.1,A10130R190400062 A,10.55.0.90,18.798400,98.958523,6,"13-14, 15-16, 17-18"
9,NODE-FO-08,FO3.2-S4.1,A10130R190400057 A,10.55.0.77,18.798544,98.959865,6,"07-08, 09-10, 11-12"
10,NODE-FO-09,FO3.3-S1.1,A10130R190400061 A,10.55.0.78,18.796812,98.959496,6,"07-08, 09-10, 11-12"
11,NODE-FO-09,FO3.3-S2.1,,10.55.0.79,18.795571,98960764,6,"19-20, 21-22, 23-24"
12,NODE-FO-09,FO3.3-S2.2,,10.55.0.80,18.795571,98960764,0,"19-20, 21-22, 23-24"
13,NODE-FO-09,FO3.3-S3.1,A10130R190400029 A,10.55.0.81,18.793885,98.958690,6,"13-14, 15-16, 17-18"
14,NODE-FO-09,FO3.3-S4.1,,10.55.0.82,18.792056,98.958973,0,"25-26, 27-28, 29-30"
15,NODE-FO-09,FO3.3-S5.1,,10.55.0.84,,,,
16,NODE-FO-09,FO3.3-S6.1,A10130R190400043 A,10.55.0.85,,,,
17,NODE-FO-01,FO1.1-S1.1,A10130R190400071 A,10.55.0.11,18.804447,98.955709,6,"01-02, 03-04, 05-06"
18,NODE-FO-02,FO1.2-S1.1,A10130R190400072 A,10.55.0.12,18.805404,98.954817,6,"19-20, 21-22, 23-24"
19,NODE-FO-02,FO1.2-S2.1,A10130R190400070 A,10.55.0.13,18.805895,98.955458,6,"13-14, 15-16, 17-18"
20,NODE-FO-02,FO1.2-S3.1,A10130R190400069 A,10.55.0.14,18.807521,98.955731,6,"07-08, 09-10, 11-12"
21,NODE-FO-02,FO1.2-S4.1,A10130R190400066 A,10.55.0.15,18.807924,98.955011,6,"01-02, 03-04, 05-06"
22,NODE-FO-02,FO1.2-S5.1,,10.55.0.16,18.805404,98.954817,0,"25-26, 27-28, 29-30"
23,NODE-FO-02,FO1.2-S5.2,A10130R190400067 A,10.55.0.17,18.805404,98.954817,6,"25-26, 27-28, 29-30"
24,NODE-FO-03,FO1.3-S1.1,A10130R190400068 A,10.55.0.18,18.806261,98.952544,6,"01-02, 03-04, 05-06"
25,NODE-FO-03,FO1.3-S2.1,A10130R190400065 A,10.55.0.19,18.806940,98.952828,6,"07-08, 09-10, 11-12"
26,NODE-FO-03,FO1.3-S3.1,A10130R190400052 A,10.55.0.20,18.807749,98.953166,6,"13-14, 15-16, 17-18"
27,NODE-SW-MEDIA,MEDIA,,,18.808289,98.952432,6,"19-20, 21-22, 23-24"
28,NODE-FO-04,FO2.1-S1.1,A10130R190400051 A,10.55.0.41,18.804413,98.952104,6,"13-14, 15-16, 17-18"
29,NODE-FO-04,FO2.1-S2.1,A10130R190400050 A,10.55.0.42,18.804705,98.952774,6,"07-08, 09-10, 11, 12"
